,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.memory,spark.executor.memory,spark.network.timeout,spark.locality.wait,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.shuffle.spill.compress,spark.broadcast.compress,spark.memory.storageFraction
205,124m,74k,300,800ms,4.5,0.75,2m,62k,120m,12k,5g,9g,460s,1s,2,true,0.6,true,false,0.5
206,108m,114k,100,500ms,3.0,0.25,96m,2k,56m,88k,10g,2g,240s,4s,5,false,0.5,true,false,0.8999999999999999
207,116m,42k,600,500ms,3.5,0.25,102m,126k,8m,70k,6g,6g,320s,4s,5,true,0.6,true,true,0.7
208,26m,120k,800,900ms,3.0,0.25,12m,4k,72m,60k,2g,1g,480s,2s,7,true,0.7,true,true,0.6
209,68m,56k,900,400ms,3.5,0.25,54m,40k,120m,72k,10g,2g,400s,6s,7,false,0.8999999999999999,false,false,0.6
210,118m,2k,500,700ms,2.0,0.5,42m,120k,8m,30k,1g,5g,420s,1s,6,true,0.7,true,true,0.8999999999999999
211,90m,72k,100,300ms,4.0,0.75,24m,54k,96m,28k,7g,6g,420s,6s,3,false,0.8999999999999999,false,true,0.5
212,38m,82k,400,300ms,3.0,0.25,30m,44k,64m,76k,5g,5g,80s,4s,6,false,0.7999999999999999,false,false,0.6
213,44m,78k,100,100ms,1.0,0.5,90m,114k,104m,118k,10g,6g,160s,7s,6,false,0.5,true,true,0.5
214,86m,120k,800,800ms,3.5,0.5,10m,110k,104m,6k,9g,7g,100s,1s,5,false,0.8999999999999999,false,false,0.8999999999999999
215,58m,126k,400,200ms,3.5,0.5,86m,66k,104m,114k,6g,11g,80s,3s,3,true,0.8999999999999999,false,true,0.6
216,124m,20k,800,700ms,3.0,0.25,80m,64k,80m,58k,11g,8g,260s,2s,3,false,0.6,true,true,0.6
217,44m,70k,300,600ms,3.0,0.25,52m,14k,88m,2k,8g,5g,460s,1s,6,false,0.8999999999999999,true,true,0.8999999999999999
218,100m,26k,700,600ms,3.5,0.75,44m,126k,48m,102k,4g,2g,20s,9s,6,false,0.6,true,false,0.7999999999999999
219,70m,38k,600,100ms,1.0,0.25,100m,50k,120m,116k,5g,5g,80s,8s,4,false,0.8999999999999999,false,true,0.7999999999999999
220,30m,20k,300,300ms,3.5,0.25,100m,66k,16m,16k,11g,6g,300s,4s,7,false,0.8999999999999999,false,true,0.6
221,24m,102k,900,600ms,3.5,0.75,20m,30k,56m,36k,6g,7g,140s,2s,4,false,0.7999999999999999,false,false,0.8999999999999999
222,62m,6k,300,800ms,3.5,0.25,98m,126k,64m,64k,11g,2g,360s,7s,6,false,0.5,true,true,0.7
223,48m,70k,400,900ms,4.5,0.75,20m,28k,40m,48k,4g,4g,20s,7s,7,true,0.5,false,true,0.5
224,60m,80k,600,100ms,4.5,0.75,80m,16k,40m,114k,10g,9g,260s,1s,2,false,0.6,true,false,0.6
225,72m,30k,500,100ms,3.0,0.75,98m,92k,64m,102k,1g,3g,40s,7s,5,true,0.6,true,false,0.5
226,88m,60k,600,400ms,4.0,0.5,104m,66k,8m,50k,5g,7g,480s,1s,5,false,0.8999999999999999,false,false,0.7
227,66m,106k,900,700ms,1.5,0.25,6m,58k,40m,44k,6g,8g,80s,7s,7,true,0.5,true,true,0.8999999999999999
228,94m,50k,300,300ms,2.0,0.5,14m,112k,80m,12k,10g,3g,460s,6s,5,true,0.8999999999999999,false,false,0.6
229,34m,14k,900,900ms,2.0,0.25,70m,114k,40m,88k,3g,2g,460s,1s,2,false,0.6,true,true,0.6
230,94m,108k,800,700ms,1.5,0.5,62m,104k,16m,36k,7g,4g,380s,8s,5,true,0.5,false,true,0.7999999999999999
231,90m,120k,600,600ms,2.5,0.25,40m,2k,120m,4k,9g,8g,180s,2s,3,true,0.7999999999999999,false,false,0.7999999999999999
232,74m,50k,100,800ms,4.0,0.75,94m,116k,32m,28k,9g,9g,320s,7s,3,true,0.7,false,true,0.8999999999999999
233,104m,68k,100,700ms,1.0,0.25,58m,50k,16m,26k,9g,2g,420s,4s,3,true,0.8999999999999999,true,false,0.8999999999999999
234,90m,100k,800,800ms,4.5,0.25,60m,122k,40m,108k,7g,6g,40s,5s,5,false,0.6,false,false,0.8999999999999999
235,124m,90k,900,300ms,3.0,0.25,66m,120k,72m,28k,7g,3g,220s,1s,7,false,0.8999999999999999,true,true,0.8999999999999999
236,88m,58k,600,300ms,1.5,0.75,124m,100k,16m,34k,11g,5g,360s,4s,5,false,0.5,true,false,0.7999999999999999
237,38m,80k,700,100ms,3.0,0.5,14m,56k,72m,86k,7g,2g,60s,8s,2,false,0.8999999999999999,true,true,0.7
238,34m,10k,400,900ms,2.0,0.5,66m,84k,104m,28k,8g,7g,100s,7s,3,true,0.6,true,true,0.5
239,44m,76k,100,600ms,4.5,0.75,50m,10k,8m,24k,6g,9g,300s,4s,5,true,0.5,false,true,0.5
240,116m,52k,800,900ms,2.5,0.75,56m,94k,72m,102k,8g,4g,400s,7s,4,false,0.7999999999999999,true,true,0.7
241,90m,22k,500,900ms,3.5,0.25,24m,120k,72m,78k,3g,11g,400s,8s,5,true,0.7,true,true,0.8999999999999999
242,56m,118k,700,700ms,1.0,0.25,62m,58k,80m,108k,1g,9g,140s,3s,4,true,0.5,true,true,0.7
243,40m,66k,200,600ms,4.5,0.75,108m,64k,56m,44k,1g,10g,280s,4s,4,true,0.5,true,true,0.7999999999999999
244,108m,102k,900,800ms,3.5,0.5,86m,78k,88m,12k,2g,3g,480s,2s,4,true,0.5,false,true,0.7999999999999999
245,112m,80k,100,200ms,1.0,0.25,96m,104k,16m,94k,10g,7g,40s,3s,4,true,0.8999999999999999,false,false,0.7999999999999999
246,18m,120k,700,900ms,1.5,0.25,20m,96k,80m,16k,9g,6g,320s,1s,1,true,0.8999999999999999,true,false,0.5
247,104m,34k,900,500ms,2.0,0.75,40m,110k,48m,46k,11g,8g,460s,8s,2,false,0.7999999999999999,true,true,0.7999999999999999
248,56m,46k,900,100ms,3.5,0.5,74m,88k,16m,30k,10g,9g,340s,7s,6,false,0.8999999999999999,true,true,0.7999999999999999
249,80m,120k,200,600ms,2.5,0.75,58m,58k,8m,88k,7g,1g,300s,9s,6,false,0.7,false,false,0.6
250,100m,104k,900,200ms,1.5,0.75,46m,48k,40m,32k,7g,11g,320s,6s,2,false,0.8999999999999999,false,false,0.7999999999999999
251,74m,60k,200,700ms,1.5,0.25,50m,112k,32m,14k,7g,1g,460s,5s,7,false,0.6,false,false,0.7999999999999999
252,94m,72k,200,500ms,4.0,0.25,26m,28k,64m,68k,6g,6g,60s,7s,6,false,0.7,true,false,0.7999999999999999
253,92m,8k,600,100ms,2.0,0.5,88m,78k,40m,106k,9g,8g,40s,2s,7,true,0.7,false,false,0.7
254,116m,82k,900,800ms,3.0,0.75,12m,92k,112m,8k,8g,3g,300s,5s,6,true,0.7,true,true,0.8999999999999999
255,88m,116k,800,400ms,1.0,0.5,34m,86k,104m,60k,3g,7g,380s,5s,7,true,0.8999999999999999,false,false,0.7
256,34m,112k,900,600ms,1.0,0.5,104m,66k,24m,10k,6g,3g,360s,1s,3,true,0.6,true,true,0.6
257,112m,82k,100,100ms,2.5,0.25,112m,22k,16m,26k,1g,8g,280s,2s,7,false,0.7999999999999999,false,false,0.7999999999999999
258,8m,54k,700,400ms,3.0,0.75,90m,98k,96m,68k,9g,5g,300s,9s,2,true,0.7999999999999999,false,true,0.7
259,56m,116k,100,500ms,3.5,0.5,4m,14k,24m,112k,9g,9g,100s,8s,5,false,0.8999999999999999,true,true,0.6
260,68m,72k,200,800ms,1.5,0.75,44m,90k,56m,10k,4g,2g,100s,8s,5,true,0.7999999999999999,false,false,0.8999999999999999
261,52m,24k,900,100ms,3.5,0.5,54m,44k,64m,56k,4g,7g,440s,5s,3,true,0.5,true,true,0.8999999999999999
262,8m,32k,600,800ms,3.0,0.75,98m,14k,104m,20k,1g,11g,480s,7s,6,true,0.5,true,false,0.7999999999999999
263,84m,106k,700,300ms,3.5,0.5,92m,68k,88m,54k,8g,8g,360s,8s,6,false,0.7,true,true,0.5
264,104m,96k,200,200ms,4.0,0.5,64m,96k,32m,40k,9g,9g,380s,3s,1,false,0.6,true,true,0.8999999999999999
265,24m,20k,900,700ms,4.5,0.75,78m,66k,24m,2k,9g,1g,260s,1s,6,true,0.5,false,false,0.5
266,60m,38k,700,600ms,1.0,0.5,42m,102k,112m,92k,10g,8g,380s,4s,1,false,0.8999999999999999,false,false,0.7
267,76m,40k,800,500ms,3.5,0.5,60m,48k,56m,64k,4g,5g,260s,6s,3,true,0.6,true,false,0.5
268,42m,82k,300,600ms,2.5,0.75,80m,116k,32m,64k,11g,1g,240s,1s,7,false,0.5,false,false,0.8999999999999999
269,74m,34k,900,300ms,2.5,0.5,50m,4k,72m,22k,8g,8g,280s,6s,4,true,0.7999999999999999,false,false,0.6
270,106m,108k,800,500ms,4.5,0.25,82m,118k,64m,100k,2g,11g,260s,8s,6,true,0.7999999999999999,true,true,0.7999999999999999
271,52m,4k,600,500ms,2.5,0.25,28m,18k,24m,110k,7g,1g,180s,9s,6,false,0.5,true,false,0.7999999999999999
272,122m,80k,800,700ms,1.0,0.5,126m,92k,24m,14k,4g,9g,320s,8s,5,true,0.8999999999999999,true,false,0.7
273,8m,118k,100,400ms,2.5,0.75,48m,100k,16m,18k,4g,5g,460s,7s,4,false,0.5,false,true,0.7999999999999999
274,22m,6k,300,300ms,1.0,0.25,100m,118k,88m,28k,6g,1g,160s,8s,5,false,0.8999999999999999,true,false,0.5
275,118m,124k,800,900ms,2.5,0.25,96m,100k,24m,26k,3g,9g,260s,1s,2,false,0.5,false,false,0.5
276,78m,104k,800,700ms,1.0,0.75,24m,16k,64m,24k,7g,10g,120s,3s,3,false,0.6,true,false,0.5
277,64m,72k,100,900ms,2.5,0.5,112m,26k,104m,34k,9g,11g,240s,2s,2,false,0.5,true,true,0.7999999999999999
278,16m,100k,800,200ms,2.0,0.5,10m,120k,80m,18k,10g,10g,60s,7s,3,false,0.5,true,true,0.8999999999999999
279,64m,82k,100,100ms,4.5,0.75,78m,104k,32m,36k,1g,8g,160s,6s,2,false,0.8999999999999999,true,true,0.6
280,34m,26k,200,700ms,4.5,0.75,126m,36k,24m,10k,4g,9g,180s,2s,4,true,0.5,true,true,0.6
281,90m,82k,100,100ms,2.5,0.25,104m,70k,112m,88k,5g,4g,360s,4s,2,false,0.6,true,false,0.7999999999999999
282,48m,46k,300,300ms,1.0,0.5,48m,6k,24m,50k,9g,8g,200s,1s,2,false,0.7999999999999999,false,false,0.8999999999999999
283,56m,18k,600,100ms,4.5,0.75,112m,70k,16m,18k,4g,2g,100s,7s,4,true,0.7,true,true,0.8999999999999999
284,114m,118k,200,600ms,1.0,0.75,88m,82k,80m,52k,5g,6g,140s,6s,7,false,0.8999999999999999,false,false,0.7
285,38m,10k,600,200ms,1.5,0.5,8m,8k,104m,94k,4g,9g,260s,6s,4,true,0.7,true,true,0.7999999999999999
286,44m,72k,600,700ms,3.5,0.75,92m,110k,120m,36k,11g,9g,160s,6s,2,true,0.5,false,false,0.5
287,120m,118k,900,400ms,2.0,0.5,4m,54k,8m,84k,6g,11g,240s,5s,2,true,0.7,false,false,0.7
288,52m,38k,600,900ms,4.5,0.25,60m,96k,64m,110k,7g,4g,400s,9s,4,false,0.8999999999999999,true,false,0.6
289,6m,98k,400,400ms,1.0,0.5,80m,40k,32m,58k,7g,11g,200s,9s,2,false,0.6,true,true,0.5
290,24m,88k,500,800ms,4.0,0.75,98m,66k,80m,18k,8g,11g,260s,2s,2,false,0.7,true,true,0.8999999999999999
291,80m,64k,500,200ms,3.0,0.25,100m,110k,56m,60k,9g,5g,60s,2s,4,false,0.6,false,true,0.6
292,104m,72k,600,400ms,3.5,0.75,120m,34k,120m,120k,9g,7g,420s,9s,1,false,0.6,true,true,0.7
293,20m,80k,400,500ms,1.5,0.25,120m,76k,56m,16k,10g,1g,180s,2s,1,false,0.6,false,true,0.7
294,90m,106k,600,600ms,2.0,0.5,32m,40k,80m,54k,2g,11g,100s,9s,1,false,0.7,false,false,0.7999999999999999
295,104m,84k,100,300ms,2.5,0.25,126m,26k,56m,40k,4g,2g,80s,8s,6,true,0.6,true,true,0.7
296,102m,104k,200,200ms,1.0,0.25,84m,10k,112m,66k,8g,10g,200s,9s,2,true,0.7999999999999999,true,true,0.7
297,86m,104k,800,400ms,2.5,0.75,70m,74k,80m,38k,7g,9g,460s,1s,5,true,0.8999999999999999,true,true,0.7
298,40m,32k,600,600ms,3.0,0.75,50m,26k,120m,2k,2g,9g,260s,2s,6,true,0.8999999999999999,true,false,0.7999999999999999
299,6m,50k,200,100ms,3.5,0.5,8m,106k,48m,112k,7g,8g,380s,2s,2,true,0.5,true,true,0.8999999999999999
300,76m,96k,700,900ms,2.0,0.75,28m,88k,24m,56k,8g,3g,260s,4s,4,true,0.5,true,false,0.7999999999999999
301,36m,42k,300,900ms,1.0,0.75,86m,42k,112m,98k,6g,10g,240s,2s,4,false,0.5,true,false,0.5
302,82m,8k,900,300ms,2.5,0.5,66m,58k,40m,16k,8g,4g,20s,7s,7,false,0.7999999999999999,true,false,0.7999999999999999
303,18m,96k,100,300ms,4.0,0.25,100m,104k,64m,68k,1g,5g,80s,7s,2,true,0.6,true,false,0.8999999999999999
304,124m,42k,400,300ms,1.5,0.75,126m,14k,72m,2k,2g,1g,460s,8s,6,false,0.8999999999999999,false,true,0.8999999999999999
305,64m,56k,900,400ms,4.0,0.75,112m,74k,40m,84k,2g,7g,220s,6s,6,true,0.8999999999999999,false,true,0.7999999999999999
306,14m,94k,900,600ms,4.0,0.5,64m,114k,72m,94k,6g,6g,280s,8s,3,true,0.8999999999999999,false,false,0.7999999999999999
307,74m,58k,700,200ms,4.5,0.75,2m,108k,112m,122k,11g,5g,200s,5s,3,true,0.7999999999999999,false,false,0.7
308,64m,52k,200,400ms,4.0,0.5,78m,62k,72m,34k,3g,8g,160s,7s,5,false,0.7,true,false,0.7999999999999999
309,124m,80k,600,700ms,2.0,0.75,66m,12k,32m,70k,4g,2g,40s,9s,7,true,0.7,false,false,0.6
310,12m,80k,500,900ms,2.0,0.75,40m,42k,120m,4k,9g,2g,80s,3s,4,false,0.7,true,false,0.5
311,62m,120k,800,900ms,3.0,0.5,122m,98k,104m,42k,9g,2g,60s,9s,4,true,0.8999999999999999,true,false,0.8999999999999999
312,74m,76k,400,600ms,2.5,0.75,104m,46k,96m,32k,3g,8g,240s,2s,1,true,0.8999999999999999,false,true,0.6
313,2m,92k,300,200ms,3.0,0.5,102m,114k,32m,118k,8g,6g,380s,1s,4,false,0.8999999999999999,false,true,0.7999999999999999
314,112m,106k,700,500ms,3.5,0.75,12m,92k,56m,18k,11g,1g,360s,5s,6,true,0.5,true,false,0.7999999999999999
315,18m,60k,300,600ms,2.5,0.5,96m,114k,24m,86k,3g,2g,460s,9s,6,false,0.6,true,true,0.6
316,90m,34k,800,100ms,2.5,0.25,14m,34k,8m,102k,3g,8g,80s,7s,2,true,0.8999999999999999,false,false,0.7
317,122m,40k,400,100ms,4.5,0.5,126m,80k,80m,38k,2g,9g,60s,1s,3,true,0.7999999999999999,true,false,0.8999999999999999
318,2m,76k,500,700ms,4.0,0.25,118m,122k,72m,108k,10g,9g,360s,2s,3,true,0.6,true,false,0.5
319,126m,18k,200,200ms,1.5,0.5,46m,42k,56m,64k,3g,10g,320s,4s,2,true,0.5,false,true,0.6
320,62m,78k,400,800ms,3.0,0.5,92m,48k,80m,10k,11g,6g,260s,5s,6,false,0.7,true,false,0.6
321,14m,12k,600,900ms,4.5,0.5,44m,86k,88m,108k,1g,1g,60s,9s,6,true,0.6,true,true,0.8999999999999999
322,104m,82k,900,100ms,1.5,0.5,108m,52k,40m,56k,6g,1g,340s,4s,7,false,0.7,true,true,0.5
323,118m,108k,100,600ms,4.5,0.25,10m,48k,56m,48k,4g,6g,480s,3s,7,true,0.8999999999999999,true,false,0.7999999999999999
324,52m,14k,800,600ms,1.0,0.25,58m,32k,24m,6k,9g,11g,180s,9s,3,true,0.5,true,false,0.5
325,6m,52k,500,400ms,3.5,0.5,20m,92k,112m,84k,8g,7g,160s,6s,7,true,0.7,true,false,0.7999999999999999
326,50m,56k,200,700ms,1.5,0.75,126m,10k,8m,38k,9g,7g,20s,9s,1,true,0.8999999999999999,false,false,0.6
327,38m,96k,600,300ms,2.5,0.75,110m,8k,64m,18k,6g,4g,180s,8s,7,false,0.8999999999999999,false,false,0.7999999999999999
328,124m,88k,400,500ms,3.5,0.5,126m,48k,16m,30k,4g,1g,380s,7s,7,false,0.7999999999999999,false,false,0.8999999999999999
329,114m,100k,900,200ms,4.5,0.75,16m,102k,104m,28k,2g,6g,440s,1s,2,true,0.5,true,false,0.7999999999999999
330,14m,54k,400,300ms,1.0,0.25,22m,126k,40m,98k,10g,10g,100s,6s,5,false,0.7,true,true,0.7999999999999999
331,86m,30k,800,600ms,3.0,0.75,122m,32k,24m,56k,10g,5g,340s,6s,5,true,0.6,false,true,0.5
332,92m,80k,600,400ms,3.5,0.5,24m,92k,48m,82k,6g,10g,220s,6s,6,false,0.6,true,true,0.7
333,104m,16k,200,500ms,4.0,0.5,72m,52k,8m,124k,5g,6g,200s,4s,1,false,0.6,false,false,0.6
334,46m,76k,700,600ms,4.0,0.25,112m,40k,64m,88k,9g,7g,320s,2s,4,true,0.7,true,false,0.6
335,38m,120k,900,100ms,3.0,0.5,6m,126k,72m,20k,8g,10g,360s,5s,3,false,0.7,true,false,0.6
336,124m,82k,200,600ms,4.0,0.5,36m,42k,104m,48k,10g,10g,100s,9s,4,true,0.6,false,false,0.6
337,40m,64k,800,900ms,1.5,0.25,82m,62k,88m,36k,11g,4g,300s,1s,7,true,0.6,false,false,0.8999999999999999
338,26m,50k,500,700ms,1.5,0.25,118m,112k,72m,78k,10g,10g,120s,4s,4,false,0.7999999999999999,true,true,0.6
339,68m,62k,400,600ms,3.5,0.75,110m,70k,64m,78k,9g,4g,320s,2s,1,false,0.7999999999999999,false,true,0.8999999999999999
340,26m,60k,900,100ms,4.5,0.75,52m,66k,16m,40k,11g,3g,240s,2s,6,false,0.7999999999999999,true,false,0.5
341,102m,40k,400,100ms,3.0,0.5,98m,86k,64m,118k,5g,8g,140s,8s,2,false,0.6,true,false,0.7
342,86m,20k,700,700ms,2.0,0.25,32m,26k,72m,98k,10g,3g,220s,7s,2,false,0.8999999999999999,true,true,0.5
343,100m,100k,800,300ms,2.5,0.25,116m,34k,40m,74k,2g,6g,440s,2s,6,true,0.7999999999999999,true,false,0.7
344,118m,68k,600,400ms,4.5,0.25,116m,96k,40m,82k,1g,6g,200s,7s,3,true,0.7999999999999999,true,true,0.7999999999999999
345,26m,38k,300,600ms,1.5,0.75,76m,122k,16m,54k,7g,3g,440s,2s,4,false,0.7999999999999999,false,false,0.6
346,22m,20k,300,200ms,2.0,0.25,38m,110k,8m,32k,7g,8g,480s,1s,1,true,0.7999999999999999,true,true,0.5
347,54m,4k,900,400ms,2.5,0.5,64m,48k,88m,92k,10g,9g,40s,8s,6,true,0.5,true,true,0.7
348,4m,18k,700,400ms,2.5,0.25,94m,40k,72m,110k,4g,8g,80s,6s,1,true,0.8999999999999999,true,true,0.7
349,24m,8k,500,400ms,2.5,0.75,46m,124k,32m,28k,5g,6g,360s,5s,3,true,0.6,false,true,0.7999999999999999
350,82m,40k,700,500ms,2.5,0.75,26m,56k,112m,6k,4g,6g,40s,1s,4,false,0.5,false,true,0.7
351,74m,34k,900,700ms,2.0,0.25,68m,86k,88m,74k,8g,7g,300s,3s,6,false,0.7999999999999999,true,false,0.5
352,88m,108k,500,700ms,2.0,0.25,14m,22k,24m,60k,2g,1g,460s,5s,7,false,0.5,true,false,0.7999999999999999
353,34m,74k,300,900ms,2.0,0.5,48m,56k,32m,98k,1g,1g,260s,1s,2,false,0.8999999999999999,false,true,0.7999999999999999
354,50m,48k,500,500ms,2.0,0.5,26m,4k,64m,114k,11g,9g,160s,1s,1,false,0.6,false,true,0.7999999999999999
355,80m,114k,800,700ms,2.5,0.5,18m,42k,56m,118k,11g,7g,300s,9s,4,false,0.7999999999999999,false,true,0.7
356,60m,106k,800,600ms,3.5,0.25,42m,122k,104m,72k,4g,5g,40s,2s,3,true,0.5,false,false,0.6
357,40m,78k,600,800ms,1.5,0.5,88m,46k,48m,78k,9g,4g,100s,5s,4,false,0.6,true,true,0.5
358,104m,82k,100,900ms,1.0,0.25,68m,98k,104m,28k,9g,2g,340s,6s,3,true,0.5,true,true,0.5
359,60m,72k,200,800ms,2.0,0.25,22m,20k,64m,8k,11g,3g,320s,1s,5,false,0.5,true,false,0.5
360,100m,92k,200,600ms,1.0,0.25,124m,110k,8m,106k,10g,5g,200s,6s,4,true,0.7999999999999999,true,false,0.6
361,46m,58k,200,100ms,1.5,0.75,28m,2k,112m,42k,8g,8g,140s,2s,2,false,0.7,false,true,0.6
362,26m,76k,800,200ms,2.0,0.25,32m,68k,16m,76k,2g,8g,140s,7s,2,false,0.5,true,false,0.6
363,98m,88k,300,100ms,1.5,0.25,102m,66k,24m,58k,4g,11g,400s,6s,7,true,0.5,false,true,0.8999999999999999
364,100m,122k,800,400ms,3.5,0.25,14m,8k,32m,116k,4g,3g,80s,4s,3,false,0.5,false,true,0.7
365,88m,6k,800,800ms,2.5,0.5,24m,100k,104m,124k,7g,8g,260s,9s,6,true,0.7,true,true,0.7
366,16m,100k,200,700ms,4.5,0.25,40m,56k,64m,32k,7g,4g,260s,3s,4,true,0.8999999999999999,false,true,0.7
367,96m,54k,200,100ms,4.0,0.25,86m,122k,120m,70k,9g,10g,460s,5s,7,true,0.8999999999999999,true,true,0.7
368,2m,58k,900,500ms,4.5,0.75,12m,76k,32m,72k,3g,6g,160s,4s,5,false,0.6,true,false,0.5
369,56m,60k,400,900ms,2.5,0.5,18m,14k,120m,122k,3g,2g,360s,1s,7,true,0.7999999999999999,false,false,0.8999999999999999
370,30m,30k,900,300ms,1.0,0.25,34m,64k,64m,32k,5g,3g,20s,6s,2,true,0.6,true,false,0.7999999999999999
371,112m,38k,200,700ms,1.0,0.25,12m,32k,72m,116k,6g,8g,160s,3s,7,false,0.5,false,false,0.7999999999999999
372,108m,64k,400,300ms,1.0,0.5,80m,58k,72m,28k,11g,3g,460s,9s,7,false,0.8999999999999999,true,true,0.7
373,88m,14k,300,600ms,1.5,0.75,18m,116k,96m,64k,5g,9g,240s,3s,7,false,0.7,false,true,0.5
374,54m,116k,600,300ms,2.0,0.25,12m,66k,80m,36k,1g,10g,180s,9s,2,true,0.6,true,false,0.6
375,8m,98k,200,900ms,1.5,0.75,78m,8k,104m,70k,10g,5g,20s,3s,4,false,0.6,false,false,0.5
376,8m,44k,200,700ms,1.5,0.75,12m,54k,112m,54k,7g,7g,280s,3s,7,false,0.5,false,false,0.7
377,46m,110k,600,200ms,4.0,0.5,44m,82k,88m,70k,2g,1g,360s,8s,2,true,0.7,false,false,0.7
378,28m,20k,600,400ms,1.0,0.25,92m,24k,88m,30k,10g,4g,340s,6s,1,false,0.7999999999999999,true,true,0.7
379,34m,60k,900,400ms,1.5,0.5,84m,28k,104m,116k,1g,4g,80s,6s,1,true,0.7999999999999999,true,true,0.6
380,30m,104k,600,300ms,3.0,0.25,70m,10k,96m,76k,6g,6g,160s,4s,1,true,0.7,false,false,0.8999999999999999
381,84m,32k,300,600ms,3.5,0.25,50m,84k,32m,12k,6g,8g,280s,8s,5,true,0.5,false,false,0.7
382,78m,20k,600,100ms,1.0,0.5,44m,18k,88m,50k,10g,5g,400s,7s,1,false,0.5,false,true,0.8999999999999999
383,124m,6k,200,500ms,4.5,0.75,54m,92k,88m,114k,8g,1g,240s,9s,6,true,0.6,true,false,0.7
384,26m,6k,200,600ms,1.5,0.5,32m,78k,80m,96k,7g,3g,240s,1s,2,false,0.8999999999999999,true,true,0.7999999999999999
385,66m,52k,100,200ms,4.5,0.5,10m,2k,24m,14k,10g,6g,240s,7s,3,false,0.7,true,false,0.6
386,60m,84k,600,800ms,4.0,0.75,86m,20k,48m,78k,2g,9g,80s,5s,2,true,0.7999999999999999,false,true,0.8999999999999999
387,54m,16k,800,900ms,1.0,0.5,94m,4k,64m,50k,3g,2g,180s,2s,1,true,0.6,true,true,0.5
388,80m,110k,600,700ms,4.5,0.5,90m,82k,24m,34k,3g,2g,180s,9s,6,false,0.7999999999999999,true,true,0.7
389,64m,104k,400,800ms,3.0,0.75,56m,102k,96m,92k,10g,10g,420s,1s,4,true,0.6,false,false,0.7
390,112m,16k,500,500ms,2.5,0.5,118m,66k,32m,92k,3g,2g,140s,6s,5,false,0.7999999999999999,false,true,0.7999999999999999
391,104m,26k,100,200ms,1.5,0.5,2m,36k,112m,78k,8g,3g,100s,7s,7,false,0.7999999999999999,true,true,0.8999999999999999
392,106m,44k,600,500ms,3.5,0.5,16m,46k,56m,74k,1g,1g,340s,5s,5,true,0.6,false,true,0.7999999999999999
393,12m,46k,200,100ms,3.5,0.25,8m,84k,24m,98k,4g,11g,300s,1s,5,false,0.7999999999999999,false,true,0.6
394,80m,50k,100,700ms,4.0,0.75,22m,80k,16m,32k,5g,6g,440s,4s,4,true,0.7999999999999999,false,false,0.5
395,116m,46k,300,700ms,1.5,0.75,28m,80k,56m,66k,7g,9g,300s,9s,2,true,0.8999999999999999,false,false,0.8999999999999999
396,98m,44k,600,800ms,3.5,0.5,102m,40k,72m,84k,4g,10g,360s,4s,2,false,0.8999999999999999,false,false,0.8999999999999999
397,124m,74k,800,200ms,2.0,0.25,66m,36k,80m,98k,7g,5g,100s,3s,5,false,0.6,false,true,0.7
398,24m,94k,200,500ms,3.5,0.75,44m,74k,96m,104k,1g,9g,60s,1s,7,false,0.5,false,false,0.5
399,124m,12k,600,900ms,2.0,0.75,102m,46k,72m,12k,2g,5g,360s,4s,7,true,0.6,true,true,0.7
400,124m,100k,600,800ms,2.5,0.25,6m,76k,8m,98k,9g,1g,220s,8s,2,true,0.7,true,true,0.5
401,64m,16k,600,600ms,3.0,0.75,70m,106k,48m,52k,10g,7g,120s,8s,3,true,0.5,true,false,0.7
402,102m,56k,600,100ms,3.0,0.75,122m,58k,40m,24k,4g,1g,420s,5s,1,false,0.5,true,false,0.8999999999999999
403,10m,118k,400,700ms,2.5,0.25,22m,124k,64m,36k,2g,8g,60s,2s,1,true,0.7,false,true,0.6
404,40m,42k,400,100ms,2.5,0.5,96m,94k,32m,104k,2g,8g,320s,3s,3,false,0.8999999999999999,true,true,0.5
405,126m,82k,500,900ms,1.5,0.25,34m,32k,56m,78k,6g,2g,180s,9s,5,true,0.8999999999999999,true,false,0.8999999999999999
406,44m,38k,400,200ms,4.0,0.75,52m,8k,88m,46k,5g,9g,240s,4s,3,true,0.6,false,false,0.7999999999999999
407,14m,48k,700,400ms,4.0,0.5,88m,70k,64m,84k,9g,8g,160s,1s,2,false,0.7999999999999999,false,true,0.8999999999999999
408,40m,4k,200,800ms,2.0,0.75,32m,16k,88m,50k,4g,4g,140s,8s,5,true,0.7,false,false,0.7
409,90m,88k,200,900ms,3.0,0.25,38m,28k,32m,40k,10g,2g,260s,6s,4,true,0.7999999999999999,false,false,0.6
410,70m,78k,800,900ms,3.5,0.25,64m,102k,80m,18k,4g,11g,400s,2s,5,false,0.7,true,true,0.5
411,72m,108k,700,300ms,4.0,0.5,100m,50k,80m,8k,8g,9g,80s,5s,3,true,0.5,false,false,0.6
