,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.memory,spark.executor.memory,spark.network.timeout,spark.locality.wait,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.shuffle.spill.compress,spark.broadcast.compress,spark.memory.storageFraction
451,46m,76k,400,700ms,4.5,0.25,106m,88k,80m,24k,6g,3g,140s,4s,6,false,0.5,false,false,0.8999999999999999
452,92m,18k,500,600ms,4.5,0.75,92m,32k,64m,52k,6g,4g,280s,6s,3,false,0.8999999999999999,false,false,0.6
453,86m,60k,200,600ms,4.0,0.5,52m,114k,88m,34k,1g,2g,400s,9s,4,true,0.6,true,false,0.6
454,52m,80k,200,500ms,2.5,0.5,96m,114k,96m,90k,7g,11g,340s,6s,7,true,0.7999999999999999,false,false,0.7999999999999999
455,100m,74k,600,100ms,4.5,0.75,64m,72k,72m,86k,6g,7g,420s,8s,4,false,0.8999999999999999,false,false,0.7999999999999999
456,22m,94k,600,900ms,1.5,0.25,72m,42k,40m,46k,7g,9g,340s,1s,7,true,0.7,false,false,0.7999999999999999
457,118m,58k,200,900ms,1.0,0.5,80m,10k,96m,76k,4g,4g,260s,1s,1,true,0.8999999999999999,true,false,0.7
458,92m,50k,700,800ms,2.5,0.25,32m,22k,24m,64k,7g,8g,360s,4s,7,true,0.6,true,true,0.7999999999999999
459,20m,18k,300,700ms,1.5,0.25,52m,90k,80m,96k,3g,7g,60s,3s,4,true,0.6,false,false,0.5
460,74m,44k,600,300ms,3.5,0.5,106m,60k,32m,88k,3g,5g,160s,1s,2,false,0.7999999999999999,true,false,0.5
461,114m,102k,900,700ms,2.0,0.75,64m,44k,72m,26k,8g,2g,480s,9s,5,false,0.7999999999999999,false,true,0.6
462,108m,88k,900,600ms,1.5,0.75,90m,98k,112m,74k,9g,6g,300s,4s,6,false,0.8999999999999999,true,true,0.5
463,74m,84k,500,900ms,4.5,0.25,32m,94k,8m,36k,5g,5g,260s,4s,1,false,0.8999999999999999,true,true,0.7999999999999999
464,4m,8k,700,300ms,4.5,0.75,124m,126k,24m,76k,8g,10g,160s,2s,6,false,0.7,true,false,0.5
465,94m,116k,200,800ms,2.5,0.75,82m,86k,80m,110k,10g,2g,360s,7s,5,false,0.7,false,false,0.6
466,12m,122k,400,100ms,1.5,0.5,100m,46k,32m,52k,8g,4g,300s,4s,7,false,0.7,false,true,0.5
467,58m,36k,400,100ms,3.0,0.75,100m,18k,8m,84k,9g,2g,320s,8s,4,true,0.6,false,false,0.6
468,66m,126k,400,800ms,3.0,0.75,72m,70k,56m,36k,8g,11g,40s,2s,1,false,0.8999999999999999,true,false,0.7
469,90m,20k,100,300ms,2.0,0.75,112m,30k,120m,78k,6g,7g,460s,7s,7,true,0.5,true,true,0.7999999999999999
470,80m,20k,700,200ms,2.5,0.25,32m,42k,24m,74k,6g,11g,20s,8s,5,true,0.6,false,true,0.5
471,90m,114k,800,800ms,1.0,0.5,104m,24k,72m,44k,9g,3g,380s,5s,5,false,0.7999999999999999,true,false,0.8999999999999999
472,68m,22k,300,200ms,3.5,0.25,10m,64k,56m,34k,9g,4g,380s,7s,7,false,0.8999999999999999,false,true,0.7999999999999999
473,30m,70k,400,900ms,3.5,0.75,2m,50k,24m,54k,6g,1g,480s,3s,3,false,0.6,true,true,0.7999999999999999
474,8m,64k,700,600ms,3.0,0.5,110m,24k,88m,70k,5g,2g,140s,3s,6,true,0.5,true,false,0.7999999999999999
475,74m,40k,800,900ms,4.0,0.5,68m,106k,112m,34k,5g,6g,300s,8s,7,false,0.5,true,true,0.8999999999999999
476,92m,66k,600,800ms,3.0,0.25,122m,62k,56m,56k,5g,1g,280s,8s,7,true,0.5,false,false,0.6
477,116m,76k,100,500ms,4.0,0.75,32m,126k,56m,96k,11g,3g,380s,1s,2,false,0.5,false,false,0.7
478,76m,8k,400,900ms,3.0,0.5,66m,54k,104m,82k,6g,10g,240s,4s,6,false,0.6,false,true,0.5
479,46m,54k,600,900ms,1.0,0.5,40m,12k,72m,8k,10g,1g,400s,6s,3,true,0.6,true,false,0.5
480,38m,50k,200,800ms,4.5,0.25,108m,100k,8m,42k,7g,3g,180s,8s,3,false,0.8999999999999999,true,false,0.7
481,86m,76k,800,300ms,4.0,0.25,52m,60k,64m,78k,5g,5g,120s,3s,5,true,0.5,true,true,0.5
482,108m,54k,800,200ms,2.5,0.75,106m,20k,104m,108k,3g,9g,160s,3s,1,false,0.8999999999999999,false,true,0.6
483,100m,124k,500,500ms,3.5,0.75,40m,24k,8m,122k,8g,11g,420s,7s,3,false,0.7999999999999999,false,true,0.5
484,98m,34k,100,200ms,1.5,0.75,96m,16k,96m,96k,6g,3g,120s,8s,2,true,0.5,false,true,0.7
485,70m,66k,900,600ms,4.5,0.5,114m,94k,8m,62k,5g,8g,260s,9s,7,false,0.6,true,true,0.5
486,76m,26k,700,600ms,3.0,0.25,14m,78k,40m,106k,4g,7g,240s,2s,5,true,0.8999999999999999,true,true,0.5
487,96m,12k,800,800ms,1.0,0.5,110m,90k,120m,86k,8g,2g,200s,1s,1,true,0.8999999999999999,true,true,0.7999999999999999
488,62m,102k,200,100ms,4.0,0.75,58m,80k,88m,20k,1g,7g,360s,6s,1,false,0.6,false,true,0.5
489,16m,76k,900,800ms,1.0,0.75,74m,82k,96m,114k,1g,5g,460s,5s,6,false,0.6,true,true,0.6
490,102m,52k,400,700ms,4.0,0.25,52m,44k,80m,108k,8g,5g,280s,6s,1,false,0.7999999999999999,false,true,0.7
491,36m,78k,100,200ms,1.0,0.75,10m,52k,72m,110k,9g,5g,160s,9s,1,true,0.8999999999999999,true,true,0.8999999999999999
492,22m,114k,200,400ms,3.0,0.25,8m,124k,48m,50k,9g,11g,420s,7s,7,true,0.8999999999999999,false,true,0.8999999999999999
493,14m,86k,200,100ms,4.0,0.5,22m,52k,72m,28k,1g,8g,120s,5s,4,true,0.7,false,true,0.8999999999999999
494,96m,52k,800,100ms,3.0,0.5,68m,126k,96m,46k,2g,1g,120s,1s,1,true,0.5,false,true,0.6
495,114m,72k,800,400ms,1.0,0.75,52m,94k,8m,10k,8g,3g,280s,5s,6,true,0.7999999999999999,true,false,0.7
496,118m,40k,600,100ms,4.0,0.75,42m,32k,120m,32k,2g,8g,40s,3s,3,true,0.7,false,false,0.6
497,16m,68k,900,700ms,3.5,0.25,120m,68k,40m,34k,8g,4g,80s,1s,2,true,0.5,false,false,0.6
498,6m,80k,200,700ms,2.0,0.5,116m,64k,64m,98k,5g,8g,160s,2s,2,false,0.6,true,true,0.5
499,52m,74k,600,700ms,4.5,0.75,74m,70k,24m,10k,3g,5g,400s,3s,6,false,0.7999999999999999,false,false,0.6
500,46m,32k,700,800ms,4.0,0.75,64m,16k,72m,100k,7g,6g,120s,3s,3,false,0.8999999999999999,false,false,0.7999999999999999
501,4m,46k,600,100ms,3.5,0.75,60m,122k,72m,4k,3g,11g,120s,1s,4,false,0.6,true,false,0.6
502,120m,120k,700,400ms,1.0,0.25,42m,54k,40m,82k,3g,10g,40s,4s,4,true,0.8999999999999999,false,true,0.7999999999999999
503,80m,6k,700,800ms,4.0,0.75,66m,14k,8m,4k,2g,3g,100s,7s,4,true,0.5,false,true,0.8999999999999999
504,56m,68k,700,800ms,2.5,0.75,26m,24k,64m,48k,3g,8g,240s,9s,2,false,0.7,false,false,0.5
505,56m,126k,300,600ms,2.5,0.75,42m,42k,48m,90k,7g,1g,60s,5s,1,true,0.8999999999999999,true,false,0.7999999999999999
506,30m,100k,700,600ms,1.0,0.25,120m,46k,112m,70k,11g,1g,360s,4s,4,true,0.8999999999999999,false,false,0.5
507,78m,82k,700,700ms,2.0,0.5,84m,92k,96m,86k,7g,9g,420s,5s,7,false,0.5,true,false,0.6
508,70m,60k,200,600ms,1.0,0.5,112m,62k,56m,120k,11g,2g,100s,5s,6,true,0.7,false,true,0.7
509,52m,40k,400,200ms,3.5,0.25,30m,24k,112m,90k,7g,2g,420s,4s,2,false,0.7999999999999999,false,true,0.6
510,90m,38k,900,800ms,1.0,0.75,88m,82k,40m,82k,7g,6g,300s,5s,1,true,0.7999999999999999,false,true,0.6
511,100m,96k,100,900ms,4.5,0.25,120m,42k,24m,102k,7g,1g,220s,1s,4,true,0.6,true,true,0.7
512,88m,100k,800,300ms,2.0,0.25,84m,74k,88m,38k,6g,7g,220s,5s,1,false,0.7999999999999999,false,false,0.5
513,30m,50k,300,600ms,4.5,0.25,58m,96k,24m,6k,7g,2g,240s,7s,3,true,0.7999999999999999,false,true,0.7
514,2m,24k,700,300ms,3.0,0.5,30m,12k,24m,68k,4g,2g,400s,1s,4,false,0.8999999999999999,false,false,0.7
515,18m,76k,100,800ms,2.5,0.25,34m,102k,16m,12k,7g,11g,120s,8s,2,true,0.7999999999999999,false,false,0.8999999999999999
516,54m,100k,400,200ms,1.5,0.25,90m,8k,32m,48k,11g,6g,20s,1s,7,true,0.8999999999999999,true,true,0.6
517,104m,20k,300,900ms,4.5,0.5,10m,106k,48m,32k,9g,11g,400s,3s,1,true,0.7,false,false,0.7999999999999999
518,62m,12k,100,600ms,2.5,0.75,116m,74k,96m,104k,7g,2g,460s,8s,6,false,0.5,false,true,0.6
519,94m,70k,800,900ms,2.0,0.25,8m,28k,32m,56k,5g,3g,140s,1s,2,true,0.6,false,true,0.8999999999999999
520,42m,20k,300,900ms,4.5,0.25,76m,72k,32m,42k,9g,10g,120s,9s,7,true,0.6,false,true,0.7
521,58m,124k,100,300ms,2.5,0.75,62m,8k,80m,112k,8g,6g,380s,1s,3,false,0.6,false,true,0.8999999999999999
522,106m,94k,400,900ms,2.5,0.25,26m,2k,104m,40k,11g,6g,20s,2s,6,false,0.8999999999999999,true,false,0.6
523,82m,104k,800,700ms,1.0,0.5,32m,58k,72m,32k,9g,1g,180s,2s,6,true,0.7,false,false,0.6
524,94m,106k,700,200ms,2.5,0.5,50m,96k,80m,116k,11g,11g,420s,5s,2,false,0.7999999999999999,true,true,0.7
525,8m,44k,500,300ms,4.5,0.25,98m,54k,56m,78k,7g,1g,20s,2s,7,false,0.7,false,false,0.7
526,86m,104k,500,100ms,3.5,0.75,56m,46k,16m,86k,6g,10g,140s,1s,4,true,0.8999999999999999,true,true,0.7999999999999999
527,64m,32k,300,200ms,4.0,0.75,56m,72k,32m,46k,11g,5g,380s,6s,7,false,0.8999999999999999,false,false,0.8999999999999999
528,52m,58k,300,900ms,2.5,0.75,10m,50k,72m,54k,10g,4g,120s,6s,4,true,0.8999999999999999,true,false,0.6
529,4m,34k,300,600ms,3.0,0.25,32m,122k,96m,62k,5g,5g,40s,3s,2,true,0.8999999999999999,false,false,0.6
530,30m,60k,900,600ms,2.0,0.5,2m,30k,104m,60k,3g,3g,360s,2s,3,false,0.6,true,false,0.8999999999999999
531,18m,96k,800,600ms,1.5,0.5,86m,8k,104m,122k,4g,4g,340s,1s,7,false,0.6,true,true,0.7999999999999999
532,76m,78k,400,900ms,2.5,0.5,90m,18k,64m,34k,9g,8g,20s,8s,4,false,0.7,false,false,0.7
533,112m,6k,300,400ms,1.0,0.75,22m,52k,8m,102k,1g,11g,440s,4s,7,true,0.5,false,false,0.8999999999999999
534,98m,90k,100,200ms,1.0,0.25,4m,70k,32m,92k,9g,9g,220s,8s,4,true,0.8999999999999999,true,true,0.7
535,120m,8k,300,200ms,4.0,0.75,86m,120k,48m,126k,5g,11g,180s,3s,2,false,0.7,false,true,0.6
536,56m,102k,100,600ms,4.5,0.75,34m,14k,16m,122k,2g,10g,400s,2s,1,false,0.5,true,false,0.7999999999999999
537,68m,64k,600,500ms,1.0,0.75,32m,122k,56m,56k,1g,11g,200s,4s,7,true,0.5,false,false,0.5
538,92m,48k,500,900ms,4.5,0.25,100m,62k,96m,20k,1g,6g,340s,4s,5,true,0.7999999999999999,false,true,0.8999999999999999
539,56m,8k,400,900ms,3.5,0.75,28m,90k,88m,22k,6g,7g,400s,9s,5,true,0.6,false,false,0.5
540,76m,26k,300,900ms,1.0,0.25,8m,126k,48m,110k,9g,4g,460s,6s,7,true,0.8999999999999999,true,false,0.8999999999999999
541,2m,112k,700,500ms,1.5,0.5,40m,68k,40m,40k,9g,9g,60s,8s,7,true,0.7,false,false,0.6
542,28m,2k,800,700ms,2.5,0.5,32m,100k,96m,126k,1g,4g,20s,9s,6,false,0.8999999999999999,true,false,0.6
543,116m,12k,800,500ms,3.0,0.25,76m,44k,56m,82k,1g,8g,100s,2s,2,true,0.8999999999999999,true,false,0.7999999999999999
544,34m,50k,300,300ms,1.5,0.75,120m,90k,56m,50k,5g,11g,320s,1s,1,true,0.7999999999999999,true,false,0.6
545,26m,36k,600,100ms,2.0,0.25,114m,22k,88m,40k,5g,5g,80s,2s,3,false,0.7,true,true,0.7
546,126m,70k,100,400ms,2.0,0.25,34m,54k,80m,2k,2g,9g,60s,2s,3,false,0.5,false,true,0.5
547,122m,120k,800,500ms,1.5,0.5,8m,86k,72m,56k,4g,7g,260s,5s,6,true,0.7,false,true,0.7999999999999999
548,80m,82k,200,600ms,3.0,0.75,36m,102k,40m,10k,7g,2g,360s,4s,3,true,0.8999999999999999,false,false,0.8999999999999999
549,32m,52k,900,600ms,2.0,0.5,22m,88k,32m,104k,11g,5g,240s,1s,4,false,0.5,true,false,0.5
550,4m,68k,600,700ms,4.0,0.25,118m,94k,32m,120k,6g,2g,320s,8s,2,false,0.5,false,false,0.7999999999999999
551,102m,50k,400,400ms,1.5,0.5,56m,60k,48m,78k,1g,1g,300s,6s,5,false,0.6,true,false,0.6
552,112m,56k,500,800ms,1.0,0.5,124m,44k,72m,24k,10g,8g,420s,8s,6,true,0.8999999999999999,false,true,0.8999999999999999
553,14m,52k,800,900ms,3.5,0.25,112m,10k,40m,4k,7g,5g,80s,7s,1,true,0.7999999999999999,true,false,0.5
554,54m,66k,400,100ms,4.0,0.75,124m,106k,112m,94k,5g,9g,340s,2s,4,true,0.5,true,true,0.8999999999999999
555,88m,14k,700,800ms,3.0,0.5,38m,46k,112m,66k,9g,11g,120s,5s,3,false,0.8999999999999999,true,false,0.5
556,82m,38k,100,100ms,3.5,0.25,52m,62k,120m,108k,8g,1g,240s,5s,1,false,0.6,true,false,0.7999999999999999
557,62m,34k,700,500ms,3.5,0.25,10m,10k,16m,70k,6g,4g,140s,8s,5,true,0.7,true,true,0.7
558,58m,26k,400,500ms,2.5,0.25,84m,70k,40m,76k,4g,5g,180s,8s,6,true,0.8999999999999999,false,false,0.5
559,116m,62k,100,800ms,4.0,0.25,42m,88k,8m,44k,8g,11g,100s,1s,3,true,0.7999999999999999,false,false,0.8999999999999999
560,54m,6k,400,700ms,3.0,0.5,68m,94k,8m,2k,9g,5g,120s,2s,4,true,0.5,true,true,0.8999999999999999
561,126m,60k,300,100ms,2.5,0.5,116m,112k,16m,86k,3g,4g,440s,9s,6,true,0.7,true,false,0.5
562,44m,28k,200,900ms,4.0,0.75,18m,16k,24m,98k,1g,9g,300s,4s,1,false,0.7999999999999999,false,false,0.8999999999999999
563,52m,104k,800,300ms,3.0,0.5,68m,44k,24m,108k,2g,6g,240s,6s,3,true,0.7,true,true,0.5
564,124m,98k,700,400ms,4.0,0.75,124m,52k,32m,26k,3g,4g,480s,5s,7,true,0.8999999999999999,true,false,0.8999999999999999
565,108m,38k,500,300ms,4.0,0.5,124m,10k,104m,34k,8g,5g,220s,4s,2,false,0.5,false,true,0.7
566,40m,62k,200,700ms,1.5,0.5,34m,116k,64m,118k,8g,2g,480s,8s,3,false,0.7999999999999999,true,true,0.7
567,70m,66k,200,400ms,2.0,0.25,74m,76k,120m,122k,9g,11g,180s,9s,3,true,0.7999999999999999,false,false,0.7
568,8m,6k,800,300ms,1.5,0.5,92m,10k,72m,50k,2g,6g,180s,1s,7,false,0.5,true,false,0.7999999999999999
569,124m,8k,700,500ms,1.5,0.5,46m,112k,32m,72k,6g,1g,380s,9s,5,true,0.8999999999999999,false,true,0.6
570,10m,90k,600,300ms,4.5,0.5,122m,90k,120m,104k,5g,9g,200s,7s,3,false,0.6,false,true,0.8999999999999999
571,100m,94k,700,800ms,1.0,0.75,16m,106k,32m,40k,4g,7g,160s,4s,2,false,0.7,true,true,0.5
572,124m,70k,900,200ms,3.0,0.25,104m,102k,64m,62k,11g,3g,300s,1s,7,true,0.7,false,true,0.8999999999999999
573,28m,28k,900,700ms,4.5,0.25,98m,34k,48m,84k,3g,3g,220s,9s,7,true,0.5,false,true,0.8999999999999999
574,110m,78k,400,300ms,1.5,0.5,74m,86k,64m,56k,9g,9g,440s,3s,4,false,0.7,true,true,0.5
575,86m,78k,100,300ms,4.0,0.75,92m,36k,112m,12k,11g,6g,180s,4s,7,true,0.8999999999999999,true,true,0.6
576,70m,80k,700,600ms,3.5,0.25,112m,62k,16m,36k,4g,3g,200s,5s,6,false,0.5,false,false,0.5
577,46m,48k,700,400ms,1.0,0.25,8m,90k,48m,36k,1g,9g,60s,2s,4,true,0.7999999999999999,true,true,0.7999999999999999
578,44m,94k,500,400ms,3.5,0.75,24m,84k,32m,16k,8g,10g,240s,3s,1,false,0.5,true,false,0.6
579,6m,52k,500,900ms,4.5,0.25,62m,88k,88m,4k,7g,8g,220s,3s,1,false,0.7,false,true,0.5
580,60m,76k,500,900ms,2.5,0.75,98m,108k,96m,28k,5g,4g,80s,3s,6,true,0.7999999999999999,true,true,0.6
581,40m,60k,700,100ms,3.0,0.75,18m,6k,16m,94k,10g,11g,300s,1s,5,true,0.5,true,true,0.7999999999999999
582,64m,102k,800,500ms,4.0,0.25,82m,114k,8m,10k,9g,6g,60s,7s,6,false,0.8999999999999999,true,false,0.8999999999999999
583,58m,42k,500,500ms,4.5,0.75,82m,108k,24m,46k,9g,10g,80s,8s,1,false,0.8999999999999999,false,true,0.8999999999999999
584,124m,2k,900,800ms,3.0,0.5,110m,112k,88m,108k,10g,6g,180s,2s,4,true,0.5,false,true,0.7999999999999999
585,88m,36k,400,100ms,1.0,0.5,66m,64k,120m,22k,7g,6g,360s,9s,4,false,0.8999999999999999,false,false,0.5
586,72m,18k,300,400ms,4.0,0.5,6m,60k,104m,62k,7g,3g,480s,2s,2,false,0.7999999999999999,true,true,0.8999999999999999
587,112m,52k,700,800ms,3.5,0.5,32m,14k,64m,26k,2g,2g,260s,2s,1,false,0.6,true,true,0.5
588,96m,16k,100,200ms,1.5,0.5,54m,86k,104m,78k,5g,10g,360s,1s,3,false,0.5,false,true,0.7
589,20m,50k,400,300ms,4.0,0.25,14m,24k,64m,46k,6g,10g,280s,1s,3,true,0.6,false,true,0.5
590,38m,14k,800,400ms,4.0,0.75,88m,108k,48m,94k,8g,6g,280s,7s,2,true,0.7999999999999999,false,true,0.7999999999999999
591,74m,50k,100,600ms,3.5,0.5,30m,30k,32m,34k,11g,10g,420s,2s,4,false,0.5,true,false,0.7999999999999999
592,62m,54k,500,800ms,1.0,0.75,70m,18k,64m,82k,8g,1g,260s,6s,2,true,0.6,false,true,0.5
593,24m,2k,600,900ms,3.0,0.75,126m,114k,56m,16k,3g,3g,480s,8s,7,true,0.5,true,false,0.6
594,70m,58k,100,200ms,1.5,0.5,74m,70k,72m,112k,3g,6g,460s,7s,6,true,0.6,true,true,0.8999999999999999
595,4m,58k,400,100ms,3.5,0.75,114m,82k,64m,6k,11g,11g,40s,5s,4,false,0.7,false,false,0.7999999999999999
596,108m,56k,600,400ms,4.0,0.25,76m,36k,112m,98k,3g,5g,380s,2s,2,false,0.8999999999999999,true,true,0.7999999999999999
597,40m,8k,300,300ms,3.5,0.5,116m,8k,64m,124k,8g,3g,320s,1s,4,true,0.6,false,true,0.6
598,106m,18k,600,600ms,1.5,0.25,4m,34k,104m,38k,3g,3g,300s,7s,6,false,0.6,false,false,0.6
599,16m,106k,600,800ms,1.0,0.25,92m,30k,32m,60k,6g,1g,100s,8s,4,true,0.5,false,true,0.6
600,58m,118k,600,400ms,3.5,0.25,60m,84k,96m,36k,6g,3g,420s,6s,7,false,0.7999999999999999,false,true,0.7999999999999999
601,8m,72k,600,100ms,2.0,0.5,88m,18k,16m,32k,7g,4g,380s,2s,5,true,0.6,false,false,0.7999999999999999
602,40m,24k,200,400ms,3.5,0.5,112m,102k,72m,124k,4g,10g,240s,2s,5,true,0.6,false,false,0.7999999999999999
603,82m,116k,100,900ms,4.5,0.25,64m,110k,72m,40k,10g,4g,100s,8s,1,false,0.7999999999999999,false,false,0.6
604,58m,52k,200,700ms,2.5,0.25,84m,8k,64m,58k,2g,3g,60s,9s,4,false,0.7999999999999999,true,true,0.8999999999999999
605,36m,114k,700,300ms,2.5,0.5,18m,26k,104m,100k,7g,3g,20s,9s,3,true,0.5,true,true,0.5
606,100m,38k,700,300ms,3.5,0.25,54m,84k,64m,66k,7g,5g,100s,3s,3,false,0.5,false,false,0.8999999999999999
607,100m,122k,900,700ms,4.5,0.25,114m,68k,120m,102k,2g,5g,480s,9s,6,false,0.8999999999999999,true,false,0.7
608,86m,86k,600,500ms,1.5,0.75,108m,108k,24m,42k,3g,2g,260s,3s,3,true,0.8999999999999999,true,false,0.8999999999999999
609,14m,54k,700,600ms,1.0,0.75,120m,70k,8m,104k,1g,3g,360s,6s,3,false,0.8999999999999999,true,true,0.7
610,4m,58k,500,800ms,4.5,0.75,8m,38k,120m,124k,6g,4g,300s,8s,2,true,0.7999999999999999,true,false,0.7999999999999999
611,96m,94k,500,600ms,1.0,0.5,80m,92k,64m,50k,5g,9g,180s,7s,1,true,0.6,true,false,0.8999999999999999
612,14m,104k,400,100ms,3.5,0.25,52m,32k,24m,50k,8g,6g,120s,3s,2,false,0.5,false,true,0.5
613,24m,66k,900,700ms,3.5,0.25,110m,20k,64m,118k,8g,5g,200s,7s,1,true,0.7,false,false,0.5
614,20m,16k,200,200ms,4.5,0.25,6m,72k,64m,86k,4g,8g,20s,7s,7,true,0.6,false,false,0.8999999999999999
615,28m,110k,600,100ms,4.0,0.25,124m,56k,40m,86k,7g,4g,400s,5s,4,true,0.7999999999999999,false,false,0.6
616,12m,122k,500,700ms,1.0,0.75,118m,10k,48m,72k,6g,10g,460s,8s,6,true,0.6,false,false,0.5
617,54m,6k,700,400ms,2.0,0.5,34m,74k,40m,94k,7g,1g,120s,2s,4,true,0.5,false,true,0.7999999999999999
618,70m,102k,600,600ms,3.5,0.75,118m,96k,24m,92k,2g,7g,20s,1s,6,true,0.7,false,true,0.7
619,92m,76k,800,500ms,2.0,0.25,102m,98k,80m,28k,6g,11g,180s,6s,4,true,0.7999999999999999,true,true,0.5
620,84m,68k,100,400ms,2.5,0.5,8m,86k,32m,8k,4g,9g,240s,2s,1,true,0.6,true,false,0.7999999999999999
621,22m,70k,300,200ms,1.0,0.5,36m,126k,16m,56k,6g,6g,200s,2s,2,true,0.6,true,false,0.7
622,92m,2k,400,600ms,2.5,0.75,82m,80k,80m,60k,5g,1g,180s,4s,7,false,0.7999999999999999,false,true,0.7999999999999999
623,84m,52k,100,500ms,3.5,0.75,70m,44k,16m,112k,4g,3g,120s,2s,7,false,0.6,false,false,0.5
624,46m,42k,900,700ms,1.0,0.5,110m,66k,40m,46k,1g,3g,480s,7s,5,false,0.6,false,false,0.5
625,62m,60k,100,300ms,3.0,0.75,8m,108k,24m,38k,8g,10g,420s,9s,1,false,0.7,true,true,0.7
626,6m,38k,100,500ms,4.5,0.75,50m,80k,72m,46k,11g,7g,460s,3s,3,false,0.7,false,true,0.7
627,46m,36k,800,300ms,3.5,0.5,120m,100k,48m,60k,4g,10g,100s,3s,7,false,0.7,true,false,0.5
628,98m,102k,500,700ms,2.5,0.25,40m,18k,24m,102k,3g,8g,100s,4s,2,true,0.6,false,false,0.7999999999999999
629,92m,80k,800,500ms,3.5,0.25,90m,86k,80m,52k,3g,4g,60s,5s,1,true,0.6,true,false,0.7
630,78m,52k,600,900ms,1.5,0.25,56m,110k,112m,18k,4g,5g,140s,9s,1,false,0.6,false,false,0.7
631,64m,20k,100,400ms,3.0,0.5,68m,22k,16m,98k,5g,5g,180s,4s,7,false,0.5,false,true,0.7
632,66m,72k,200,900ms,1.0,0.5,82m,44k,16m,98k,1g,10g,140s,1s,2,false,0.5,true,true,0.7
633,96m,82k,300,200ms,3.5,0.75,104m,20k,72m,58k,5g,2g,320s,4s,5,false,0.7,true,false,0.7
634,48m,82k,900,600ms,2.0,0.5,52m,90k,96m,74k,1g,11g,280s,7s,2,true,0.5,false,true,0.6
635,52m,14k,200,300ms,1.0,0.75,56m,40k,104m,62k,6g,1g,100s,6s,1,true,0.7999999999999999,false,false,0.7999999999999999
636,118m,4k,600,800ms,1.5,0.5,78m,10k,8m,92k,9g,2g,200s,7s,2,false,0.6,true,false,0.8999999999999999
637,108m,100k,300,600ms,4.5,0.5,102m,106k,56m,62k,7g,7g,120s,9s,4,false,0.7,false,false,0.8999999999999999
638,60m,38k,500,100ms,1.0,0.75,74m,74k,32m,34k,7g,1g,40s,5s,7,true,0.6,false,true,0.6
639,92m,68k,900,200ms,2.0,0.75,22m,70k,8m,26k,3g,9g,20s,4s,2,true,0.8999999999999999,true,true,0.7999999999999999
640,16m,110k,300,700ms,1.5,0.25,92m,48k,72m,112k,10g,10g,180s,5s,4,false,0.5,false,true,0.6
641,88m,20k,800,500ms,3.0,0.75,56m,80k,104m,16k,4g,1g,420s,8s,2,true,0.7,true,false,0.6
642,74m,50k,600,800ms,1.0,0.25,84m,20k,120m,122k,9g,11g,140s,5s,7,true,0.6,false,false,0.8999999999999999
643,60m,26k,500,600ms,4.5,0.5,66m,14k,120m,108k,2g,6g,40s,8s,5,false,0.5,true,true,0.8999999999999999
644,122m,12k,500,700ms,2.0,0.75,36m,102k,56m,52k,10g,11g,440s,9s,2,true,0.7,true,false,0.5
645,118m,14k,600,800ms,1.5,0.25,100m,4k,104m,8k,9g,11g,280s,1s,6,false,0.8999999999999999,true,false,0.7999999999999999
646,86m,14k,800,700ms,2.0,0.25,50m,2k,64m,4k,3g,3g,40s,5s,4,true,0.5,true,true,0.8999999999999999
647,60m,110k,600,100ms,3.0,0.5,4m,86k,24m,72k,8g,6g,380s,5s,7,false,0.5,false,true,0.5
648,48m,6k,900,400ms,4.5,0.75,36m,10k,40m,124k,7g,5g,220s,3s,7,true,0.8999999999999999,true,true,0.8999999999999999
649,94m,22k,900,400ms,4.0,0.5,110m,98k,120m,86k,11g,11g,20s,5s,2,true,0.7,true,true,0.7999999999999999
650,90m,82k,500,400ms,4.5,0.25,68m,30k,72m,114k,2g,10g,120s,2s,2,false,0.7,true,true,0.7
651,12m,74k,600,300ms,1.0,0.75,120m,54k,24m,34k,4g,4g,280s,4s,1,false,0.7999999999999999,true,true,0.7
652,78m,102k,500,900ms,2.0,0.5,74m,12k,40m,96k,10g,2g,440s,9s,5,false,0.7999999999999999,true,true,0.8999999999999999
653,78m,98k,300,400ms,2.5,0.25,86m,92k,32m,32k,10g,3g,300s,2s,6,false,0.7,false,false,0.7999999999999999
654,36m,48k,500,400ms,4.0,0.5,18m,12k,24m,72k,10g,3g,360s,8s,2,false,0.7999999999999999,true,false,0.7
655,24m,46k,400,100ms,4.5,0.25,34m,18k,80m,80k,7g,11g,440s,9s,6,true,0.7999999999999999,false,true,0.7999999999999999
656,12m,118k,800,100ms,1.0,0.5,36m,82k,120m,92k,3g,7g,100s,2s,5,false,0.8999999999999999,true,true,0.8999999999999999
657,52m,94k,700,400ms,2.5,0.25,84m,72k,112m,64k,11g,7g,420s,9s,3,false,0.5,false,true,0.7
658,58m,114k,600,900ms,3.0,0.25,68m,94k,40m,44k,6g,7g,200s,7s,6,false,0.5,false,false,0.6
